State,Abbr.,Date of statehood,Capital,Capital since,Land area (mi²),Rank in cities of its state by population,Municipal population (2010 census),Metropolitan population (2010 census),Notes
Georgia,GA,1788,Atlanta,1868,131.7,1,"420,003","5,268,860",Atlanta is the state capital with the most populous metro area in the U.S.
Massachusetts,MA,1788,Boston,1630,48.4,1,"617,594","4,522,858","Boston is the longest continuously serving capital in the United States. The Boston-Worcester-Manchester Combined Statistical Area encompasses the state capitals of Massachusetts, New Hampshire, and Rhode Island."
Arizona,AZ,1912,Phoenix,1889,474.9,1,"1,445,632","4,192,887",Phoenix is the most populous U.S. state capital and only capital with more than 1 million citizens
Minnesota,MN,1858,Saint Paul,1849,52.8,2,"285,068","3,502,891",Minneapolis is the state's largest city; it and Saint Paul form the core of the state's largest metropolitan area.
Colorado,CO,1876,Denver,1867,153.4,1,"600,158","2,552,195",Denver was called Denver City until 1882.
California,CA,1850,Sacramento,1854,97.2,6,"466,488","2,527,123",The Supreme Court of California is headquartered in San Francisco. Los Angeles is the state's largest city.
Ohio,OH,1803,Columbus,1816,210.3,1,"822,553","1,967,066","Columbus is Ohio's largest city, and the third-largest state capital; however, the Cincinnati and Cleveland metropolitan areas are both slightly larger."
Indiana,IN,1816,Indianapolis,1825,361.5,1,"829,718","1,756,221",Indianapolis is the second largest city in the Midwest.
Texas,TX,1845,Austin,1839,251.5,4,"790,390","1,716,291","Houston is the state's largest city and the previous capital, and Dallas–Fort Worth is the largest metro area. Austin is the largest state capital that is not also the state's largest city. Texas would have the tallest state capitol building if all of the underground work were above ground."
Rhode Island,RI,1790,Providence,1900,18.5,1,"178,042","1,630,956","Providence also served as the capital 1636–1686 and 1689–1776. It was one of five co-capitals 1776–1853, and one of two co-capitals 1853–1900."
Tennessee,TN,1796,Nashville,1826,473.3,2,"635,710","1,582,264","Memphis is the state's largest city, and Nashville is the largest metro area."
Oklahoma,OK,1907,Oklahoma City,1910,607.0,1,"580,000","1,252,987",Oklahoma City is the shortest serving current state capital in the United States.
Virginia,VA,1788,Richmond,1780,60.1,4,"204,214","1,231,675","Virginia Beach is the state's largest city, and Northern Virginia is the state's largest metro area."
Connecticut,CT,1788,Hartford,1875,17.3,3,"124,512","1,212,381","Bridgeport is the state's largest city, but Hartford is the largest metro area."
North Carolina,NC,1789,Raleigh,1792,114.6,2,"403,892","1,130,490",Charlotte is the state's largest city.
Utah,UT,1896,Salt Lake City,1858,109.1,1,"186,440","1,124,197",
Hawaii,HI,1959,Honolulu,1845,85.7,1,"337,256","953,207",
South Carolina,SC,1788,Columbia,1786,125.2,1,"131,686","913,797",Columbia is the largest city in South Carolina but second largest metro area and combined statistical area behind Greenville.
Arkansas,AR,1836,Little Rock,1821,116.2,1,"193,524","877,091",
